Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,img
67,Whistle,Flo Rida,dance pop,2012,0.261261261,0.987179487,0.771428571,0.363636364,0.329113924,74,0.456375839,0.023809524,0.046511628,75,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
68,Do It Again,Pia Mia,dance pop,2015,0.189189189,0.5,0.714285714,0.454545455,0.075949367,41,0.342281879,0.035714286,0.046511628,74,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
69,Paris,The Chainsmokers,electropop,2017,0.225225225,0.602564103,0.628571429,0.454545455,0.075949367,25,0.436241611,0.023809524,0,74,https://i.scdn.co/image/960547a625bc2eb742bb3dd170cbc049d2e94cf9
70,All My Friends,Snakehips,dance pop,2015,0.18018018,0.448717949,0.685714286,0.363636364,0.101265823,18,0.489932886,0.142857143,0.23255814,74,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
71,Slide,Calvin Harris,dance pop,2017,0.261261261,0.807692308,0.757142857,0.090909091,0.278481013,51,0.496644295,0.595238095,0.046511628,74,https://i.scdn.co/image/1fd90cd274102d458ec3a9243ced32e659738133
72,No Promises,Cheat Codes,dance pop,2017,0.342342342,0.641025641,0.757142857,0.272727273,0.101265823,60,0.44966443,0.071428571,0.23255814,73,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
73,The Ocean,Mike Perry,big room,2016,0.135135135,0.512820513,0.6,0.363636364,0.088607595,19,0.174496644,0.023809524,0,73,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
74,Capsize,FRENSHIP,electropop,2016,0.162162162,0.692307692,0.671428571,0.363636364,0.835443038,36,0.543624161,0.047619048,0,72,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
75,As Long As You Love Me,Justin Bieber,canadian pop,2012,0.585585586,0.897435897,0.514285714,0.090909091,0.417721519,61,0.483221477,0.095238095,0.162790698,72,https://i.scdn.co/image/d745628f6659a715f0f69eed1508805849796e5e
76,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,dance pop,2017,0.414414414,0.897435897,0.7,0.272727273,0.088607595,73,0.248322148,0.178571429,0,71,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
77,2U,David Guetta,dance pop,2017,0.630630631,0.615384615,0.485714286,0.363636364,0.253164557,56,0.255033557,0.261904762,0.069767442,71,https://i.scdn.co/image/3a8476a71714e7718a41a1157c40f93abb8cc750
78,Strip That Down,Liam Payne,dance pop,2019,0.279279279,0.423076923,0.942857143,0.272727273,0.063291139,55,0.302013423,0.238095238,0.046511628,71,https://i.scdn.co/image/4f56a2bae40e73a962dd7537369a19ae4b5b5457
79,Wildest Dreams,Taylor Swift,dance pop,2014,0.585585586,0.628205128,0.485714286,0.454545455,0.101265823,47,0.422818792,0.083333333,0.093023256,71,https://i.scdn.co/image/62b33d12e2b9a033cf77585f6e3d4b2c6b3a63a1
80,Sun Is Shining,Axwell /\ Ingrosso,big room,2017,0.513513514,0.756410256,0.371428571,0.090909091,0.050632911,38,0.657718121,0.107142857,0.046511628,71,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
81,Solo Dance,Martin Jensen,big room,2016,0.36036036,0.871794872,0.771428571,0,0.215189873,40,0.120805369,0.05952381,0.046511628,70,https://i.scdn.co/image/aa7eacb7370cb7d8dfbf054d3e9bfb3f8926d65d
82,Alone,Alan Walker,house,2016,0.198198198,0.974358974,0.671428571,0.090909091,0.113924051,16,0.026845638,0.226190476,0.046511628,70,https://i.scdn.co/image/c5c098af718b187525fb2f78527ebf89ea1b0466
83,You Don't Know Me,Jax Jones,dance pop,2019,0.441441441,0.641025641,0.957142857,0.363636364,0.367088608,67,0.375838926,0.19047619,0.255813953,70,https://i.scdn.co/image/b09786939d10dc3240d760e7f4023b33ca1c9902
84,Can't Hold Us,Macklemore & Ryan Lewis,dance pop,2013,0.63963964,0.974358974,0.6,0.181818182,0.088607595,88,0.677852349,0.035714286,0.11627907,70,https://i.scdn.co/image/aa77c545af000003e22621637813e2e7c65c4203
85,Hurts So Good,Astrid S,dance pop,2016,0.405405405,0.58974359,0.657142857,0.272727273,0.075949367,42,0.348993289,0.095238095,0.046511628,69,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
86,Five More Hours - Deorro x Chris Brown,Deorro,big room,2017,0.477477477,0.91025641,0.7,0.090909091,1,50,0.369127517,0.035714286,0.441860465,69,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
87,She Looks So Perfect,5 Seconds of Summer,boy band,2014,0.765765766,1,0.4,0.181818182,0.379746835,44,0.302013423,0,0.23255814,69,https://i.scdn.co/image/81f45e1c43d961f38e0885e79db547b86d25d101
88,Where Them Girls At,David Guetta,dance pop,2012,0.495495495,0.91025641,0.657142857,0.090909091,0.291139241,55,0.255033557,0.071428571,0.023255814,69,https://i.scdn.co/image/3a8476a71714e7718a41a1157c40f93abb8cc750
89,Mama,Jonas Blue,dance pop,2017,0.261261261,0.794871795,0.757142857,0.181818182,0.025316456,54,0.181208054,0.119047619,0.023255814,68,https://i.scdn.co/image/0de1e03f79ab154f2a0087bffb0d6d6847e1c288
90,Don't Leave,Snakehips,dance pop,2017,0.423423423,0.679487179,0.642857143,0.090909091,0.291139241,34,0.389261745,0.261904762,0.11627907,68,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
91,Drag Me Down,One Direction,boy band,2015,0.567567568,0.692307692,0.728571429,0.363636364,0.025316456,61,0.234899329,0.119047619,0.023255814,68,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
92,The One That Got Away,Katy Perry,dance pop,2010,0.531531532,0.807692308,0.685714286,0.181818182,0.164556962,88,0.469798658,0,0.023255814,66,https://i.scdn.co/image/779d7efd29be52c3f39384674f804cc13f99392d
93,Shed a Light,Robin Schulz,dance pop,2016,0.423423423,0.794871795,0.385714286,0.272727273,0.291139241,58,0.228187919,0.130952381,0.162790698,65,https://i.scdn.co/image/f670ddceb7b9828fe0437f226a2e39592320ed96
94,Sex,Cheat Codes,dance pop,2016,0.27027027,0.666666667,0.557142857,0.363636364,0.126582278,19,0.476510067,0,0.302325581,60,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
95,Call on Me - Ryan Riback Remix,Starley,electronic,2016,0.27027027,0.858974359,0.657142857,0.181818182,0.164556962,72,0.436241611,0.071428571,0.023255814,58,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
96,Stereo Hearts,Gym Class Heroes,dance pop,2011,0.135135135,0.807692308,0.628571429,0.090909091,0.303797468,80,0.362416107,0.035714286,0.162790698,56,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
97,Dynamite,Taio Cruz,dance pop,2011,0.405405405,0.794871795,0.785714286,0.181818182,0,87,0.308724832,0,0.11627907,56,https://i.scdn.co/image/12d5ab979779aa41e697ce823328d527e643e4cf
98,Break Your Heart,Taio Cruz,dance pop,2011,0.423423423,0.923076923,0.657142857,0.272727273,0.265822785,68,0.187919463,0,0,54,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
99,Summer Air,ItaloBrothers,dance pop,2017,0.243243243,0.743589744,0.785714286,0.181818182,0.063291139,49,0.181208054,0.071428571,0.093023256,43,https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
100,All I Wanna Do,Martin Jensen,big room,2016,0.333333333,0.794871795,0.742857143,0.181818182,0.050632911,56,0.248322148,0.19047619,0.093023256,32,https://i.scdn.co/image/aa7eacb7370cb7d8dfbf054d3e9bfb3f8926d65d
